epoch,train_loss,validation_loss,train_mae_kwh,validation_mae_kwh,learning_rate,is_best
1,0.1868990680928355,0.1689360573322909,0.025923409403428774,0.024519249901101724,0.001,True
2,0.1752298251442867,0.16585240770393483,0.02489410225589339,0.0243052414562369,0.001,True
3,0.17225159645084123,0.1638206393027995,0.024636126884793566,0.02403505106369866,0.001,True
4,0.17037586823879605,0.1625709217816995,0.02448415452919629,0.02389206939312488,0.001,True
5,0.16907391034431796,0.16349885423898117,0.024342288777104256,0.024007886017866423,0.001,False
6,0.1676910748402318,0.16016222331890062,0.02423224081987631,0.023724758318969426,0.001,True
7,0.16694899109409225,0.1608991344931554,0.024158112853720545,0.023784761728586575,0.001,False
8,0.16541460282265255,0.15757721294046606,0.024032686530967906,0.02343054985498528,0.001,True
9,0.1645414490148398,0.15675816921924898,0.02395486394592702,0.02345590388032112,0.001,False
10,0.16378842454610198,0.1575483051249514,0.02390240177432707,0.023546380178768894,0.001,False
11,0.16257383608484183,0.1554654065030273,0.0238069761524338,0.02333408227097556,0.001,True
12,0.16143908106326402,0.15895634819204774,0.023708537396514018,0.02361777949089842,0.001,False
13,0.1609048581372779,0.15423657968613505,0.023664884927675284,0.023217394187380756,0.001,True
14,0.1594993208156703,0.15217900217773642,0.02353338203715047,0.022971851938982872,0.001,True
15,0.1582949141852737,0.14997067247232396,0.023419804136518438,0.02289905905850263,0.001,True
16,0.15745461726002344,0.14943070725509802,0.023381373306730836,0.02282028387056527,0.001,True
17,0.1558412954358349,0.1492309949901951,0.0232470841739764,0.022711394561244515,0.001,True
18,0.15538153295436682,0.14691681974518186,0.023191441815697395,0.02253962511482138,0.001,True
19,0.15393736903507163,0.1484368657851879,0.023083622292798162,0.022546190915851607,0.001,False
20,0.15341423512203806,0.14572734804030935,0.023024410439899775,0.02249344081604698,0.001,True
21,0.1521725789770743,0.14495912379510698,0.02293660951871138,0.022397472818977703,0.001,True
22,0.15167199282683586,0.1430872706148342,0.022898841358777445,0.022202784934631375,0.001,True
23,0.15079699330129429,0.14266337945144128,0.022825417734701346,0.02222144399314276,0.001,False
24,0.15015467412146005,0.14334489281938248,0.022776702082710196,0.022214136541196097,0.001,False
25,0.14950503123019176,0.14156368668836802,0.022714056472196792,0.022087332880403494,0.001,True
26,0.14864049088702655,0.14879321815574817,0.02264946951692101,0.022712806466333835,0.001,False
27,0.14805704828870744,0.14143004255595076,0.02258525467607796,0.022101888933116966,0.001,False
28,0.14721754299112347,0.14204549842804834,0.02251712448009509,0.02219119984977501,0.001,False
29,0.14696053784641402,0.1430728331830091,0.02250221318522082,0.02224968648290353,0.001,False
30,0.14671874052183567,0.14174562668976803,0.022461800770383216,0.02221193621580453,0.001,False
31,0.1472263170779507,0.13819137548064833,0.022509955965771586,0.02187086737202361,0.001,True
32,0.145364816710084,0.14003706750500744,0.02236467422593374,0.021959898480990787,0.001,False
33,0.1453522048745477,0.141309089721601,0.022366804143410794,0.022036563600246042,0.001,False
34,0.14500462645149523,0.14072280121719968,0.022332299868109827,0.022153112874016136,0.001,False
35,0.14474043793213848,0.1423243893825362,0.02231349548870876,0.02214255041313697,0.001,False
36,0.14484708006599165,0.1432446849396174,0.022306810575086985,0.022210817627183667,0.001,False
37,0.14381343382852796,0.1400305631539234,0.022239688632824595,0.022008445246162488,0.0005,False
38,0.1416087726233139,0.15225576669104007,0.022052330511900173,0.02287235193169121,0.0005,False
39,0.1419604291808016,0.1464913822129711,0.022071812013742743,0.022349399348574557,0.0005,False
40,0.14088785414181668,0.13910994828898635,0.021994513092940284,0.02188760621012253,0.0005,False
41,0.14060228119603485,0.13877426174966456,0.021964252811614467,0.021796136766799368,0.0005,True
42,0.14012620124055777,0.13725495302890248,0.021948713067397273,0.02168574762641963,0.0005,True
43,0.14051784389062105,0.13894925190576907,0.02197408011796255,0.0217923601240306,0.0005,False
44,0.13977658633291268,0.14004839166702995,0.02191468065039059,0.02188821842173956,0.0005,False
45,0.1398861777839508,0.14384538297067434,0.021927672386971773,0.02221621578703355,0.0005,False
46,0.13983747854272824,0.1413454882680292,0.02191419084035301,0.021959522637307084,0.0005,False
47,0.13959505937345293,0.14512489993799985,0.021895690846490092,0.022270724537038326,0.0005,False
48,0.13984695254963475,0.13609490171105815,0.021904705974779816,0.021626148421784216,0.0005,True
49,0.1390472144802268,0.1413971675995584,0.021855473889967336,0.0219477658863298,0.0005,False
